sample_name,plate,well,organism,flooded,path_conc,experiment,sample_type,is_ambiguous,cin_prop,cry_prop,plu_prop,expected_innoc_prop,unexpected_innoc_prop,expected_innoc,only_expected_innoc,valid_inoc
S98,2,H01,Plu,TRUE,100,2,Sample,FALSE,0,0,0.32975302729698297,0.32975302729698297,0,TRUE,TRUE,TRUE
S99,2,A02,Cin,FALSE,1,2,Sample,FALSE,0,0,0,0,0,FALSE,FALSE,FALSE
SDNA_C1,1,G02,NA,NA,NA,NA,Negative control,FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE
SDNA_C2,1,H07,NA,NA,NA,NA,Negative control,FALSE,0.5416666666666666,0,0,NA,0.5416666666666666,FALSE,FALSE,FALSE
SDNA_C3,2,E02,NA,NA,NA,NA,Negative control,FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE
SDNA_C4,2,A07,NA,NA,NA,NA,Negative control,FALSE,0.2413793103448276,0,0,NA,0.2413793103448276,FALSE,FALSE,FALSE
SMC1,1,G12,NA,NA,NA,NA,Mock community,FALSE,0.086832525,0,0.010820514,NA,0.097653039,NA,NA,FALSE
SMC2,1,H12,NA,NA,NA,NA,Mock community,FALSE,0.091519429,0,0.009838768,NA,0.10135819639760298,NA,NA,FALSE
SMC3,2,C11,NA,NA,NA,NA,Mock community,FALSE,0.078690814,0,0.008937377,NA,0.087628191,NA,NA,FALSE
SMC4,2,D11,NA,NA,NA,NA,Mock community,FALSE,0.07403294,0,0.008894066,NA,0.082927005,NA,NA,FALSE
SPCR_C1,1,D05,NA,NA,NA,NA,Negative control,FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE
SPCR_C2,1,C10,NA,NA,NA,NA,Negative control,FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE
SPCR_C3,2,G09,NA,NA,NA,NA,Negative control,FALSE,0.3284671532846715,0,0,NA,0.3284671532846715,FALSE,FALSE,FALSE
SPCR_C4,2,C04,NA,NA,NA,NA,Negative control,FALSE,0,0,0,NA,0,TRUE,TRUE,TRUE
