Species,Number of sequences
Amanita_chepangiana,1
Amanita_chiui,1
Amanita_chlorinosma,1
Amanita_chuformis,1
Amanita_cinereopannosa,1
Amanita_cinereoradicata,1
Amanita_cingulata,1
Amanita_cinnamomea,1
Amanita_citrina,4
Amanita_citrinoannulata,2
Amanita_citrinoindusiata,1
Amanita_colombiana,1
Amanita_compacta,2
Amanita_concentrica,1
Amanita_congolensis,1
Amanita_constricta,2
Amanita_craseoderma,1
Amanita_crenulata,2
Amanita_crocea,2
Amanita_cruzii,1
Amanita_curtipes,1
Amanita_cyanochlorinosma,1
Amanita_cylindrispora,2
Amanita_decipiens,1
Amanita_detersa,1
Amanita_diemii,1
Amanita_djarilmari,1
Amanita_domingensis,1
Amanita_drummondii,1
Amanita_dryophila,1
Amanita_echinulata,1
Amanita_egregia,1
Amanita_eijii,1
Amanita_elata,1
Amanita_elliptica,1
Amanita_elongata,1
Amanita_esculenta,2
Amanita_eucalypti,1
Amanita_excelsa,2
Amanita_exilis,1
Amanita_exitialis,1
Amanita_farinosa,3
Amanita_fense,1
Amanita_fibrillopes,1
Amanita_flavoconia,2
Amanita_flavopantherina,1
Amanita_flavorubens,1
Amanita_flavosquamosa,1
Amanita_franchetii,1
Amanita_franzii,1
Amanita_friabilis,1
Amanita_fritillaria,3
Amanita_frostiana,1
Amanita_fuliginea,1
Amanita_fuligineodisca,1
Amanita_fuligineoides,1
Amanita_fulva,4
Amanita_fulvoalba,1
Amanita_fulvoides,1
Amanita_fulvopulverulenta,1
Amanita_fuscoflava,1
Amanita_fuscosquamosa,1
Amanita_garabitoana,1
Amanita_gardneri,1
Amanita_gioiosa,1
Amanita_glarea,1
Amanita_goossensfontanae,1
Amanita_griselloides,2
Amanita_griseofarinosa,1
Amanita_griseofolia,2
Amanita_griseofusca,1
Amanita_griseopantherina,1
Amanita_griseorosea,1
Amanita_griseoturcosa,1
Amanita_griseoumbonata,1
Amanita_griseoverrucosa,1
Amanita_groenlandica,1
Amanita_guyanensis,1
Amanita_harkoneniana,1
Amanita_heishidingensis,1
Amanita_hemibapha,6
Amanita_hesleri,1
Amanita_hiltonii,4
Amanita_huijsmanii,2
Amanita_hunanensis,1
Amanita_ibotengutake,1
Amanita_imazekii,2
Amanita_incarnatifolia,2
Amanita_jacksonii,2
Amanita_japonica,1
Amanita_javanica,2
Amanita_junquillea,1
Amanita_kalamundae,1
Amanita_kitamagotake,1
Amanita_konajensis,1
Amanita_kotohiraensis,2
Amanita_lanigera,1
Amanita_lavendula,2
Amanita_lepiotoides,1
Amanita_lesueurii,1
Amanita_levistriata,1
Amanita_lignitincta,1
Amanita_lippiae,1
Amanita_liquii,1
Amanita_lividopallescens,2
Amanita_longipes,1
Amanita_longistriata,2
Amanita_loosii,1
Amanita_luteoparva,1
Amanita_macrocarpa,1
Amanita_magniverrucata,1
Amanita_magnivolvata,1
Amanita_mairei,1
Amanita_manicata,1
Amanita_mansehraensis,1
Amanita_marmorata,3
Amanita_masasiensis,2
Amanita_melleialba,1
Amanita_melleiceps,1
Amanita_millsii,1
Amanita_minima,1
Amanita_minutisquama,1
Amanita_mira,1
Amanita_modesta,1
Amanita_molliuscula,2
Amanita_morrisii,1
Amanita_multisquamosa,1
Amanita_mumura,1
Amanita_murrilliana,1
Amanita_muscaria,5
Amanita_neo-ovoidea,1
Amanita_nivalis,1
Amanita_novinupta,1
Amanita_oberwinklerana,3
Amanita_ochracea,1
Amanita_ochroterrea,1
Amanita_ocreata,1
Amanita_olivaceofusca,1
Amanita_olivaceogrisea,1
Amanita_onusta,1
Amanita_orienticrocea,1
Amanita_orientifulva,4
Amanita_orientigemmata,1
Amanita_orsonii,1
Amanita_ovalispora,2
Amanita_ovoidea,3
Amanita_pachycolea,2
Amanita_pachyvolvata,1
Amanita_pallidorosea,2
Amanita_pallidoverruca,1
Amanita_paludosa,1
Amanita_pantherina,3
Amanita_pantherinoides,1
